State and County,1989,1979,1969,1959
"Mesa County, CO","11,850","12,010","8,343","6,753"
"Mineral County, CO","11,082","11,904","7,752","5,874"
"Moffat County, CO","12,354","13,410","8,491","7,982"
"Montezuma County, CO","10,176","9,992","6,883","5,768"
"Montrose County, CO","11,092","10,689","7,475","5,148"
"Morgan County, CO","10,928","10,776","7,481","6,078"
"Otero County, CO","9,573","8,584","6,851","5,388"
"Ouray County, CO","13,208","11,344","7,538","6,200"
"Park County, CO","14,325","11,889","7,569","7,405"
"Phillips County, CO","10,444","10,599","8,516","6,683"
"Pitkin County, CO","26,755","20,167","14,096","9,857"
"Prowers County, CO","9,662","9,452","7,261","5,392"
"Pueblo County, CO","10,347","11,175","7,997","6,153"
"Rio Blanco County, CO","12,357","12,868","7,808","7,212"
"Rio Grande County, CO","9,582","9,129","7,235","4,878"
"Routt County, CO","15,429","15,034","8,280","5,815"
"Saguache County, CO","8,630","7,547","5,281","4,246"
"San Juan County, CO","11,029","10,156","9,461","5,082"
"San Miguel County, CO","16,454","10,634","7,352","6,859"
"Sedgwick County, CO","9,901","9,908","9,530","6,118"
"Summit County, CO","17,400","17,011","10,112","8,013"
"Teller County, CO","13,698","11,817","7,811","6,082"
"Washington County, CO","10,473","9,642","7,635","5,878"
"Weld County, CO","11,350","10,900","8,233","5,941"
"Yuma County, CO","10,713","9,984","7,531","6,157"
,,,,
Connecticut,"$20,189.00","$14,262.00","$12,227.00","$9,229.00"
"Fairfield County, CT","26,161","17,440","14,622","10,960"
"Hartford County, CT","18,983","13,978","12,107","9,167"
"Litchfield County, CT","19,971","13,705","11,654","8,751"
"Middlesex County, CT","19,660","13,466","11,276","8,182"
"New Haven County, CT","17,666","12,750","11,185","8,609"
"New London County, CT","16,702","12,244","10,304","7,887"
"Tolland County, CT","17,849","12,578","10,395","7,236"
"Windham County, CT","14,520","10,754","9,863","7,173"
,,,,
Delaware,"$15,854.00","$12,482.00","$10,276.00","$8,186.00"
"Kent County, DE","12,726","10,265","8,117","6,275"
"New Castle County, DE","17,442","13,518","11,138","9,108"
"Sussex County, DE","12,723","10,493","8,337","6,051"
,,,,
Florida,"$14,698.00","$12,165.00","$9,624.00","$6,781.00"
"Alachua County, FL","12,252","10,212","8,397","5,556"
"Baker County, FL","9,417","7,921","5,936","3,940"
"Bay County, FL","12,225","10,000","7,855","5,698"
"Bradford County, FL","10,287","8,065","6,332","4,313"
"Brevard County, FL","15,093","12,480","10,376","7,852"
"Broward County, FL","16,883","14,446","11,843","7,754"
"Calhoun County, FL","8,867","7,892","5,668","3,583"
"Charlotte County, FL","14,431","12,646","9,429","6,451"
"Citrus County, FL","12,151","10,146","7,528","5,250"
"Clay County, FL","13,945","11,296","8,246","5,462"
"Collier County, FL","21,386","15,792","13,108","7,201"
"Columbia County, FL","10,324","9,555","7,336","4,450"
"Dade County, FL","13,686","12,940","10,792","7,915"
"DeSoto County, FL","10,286","8,233","6,254","4,367"
"Dixie County, FL","8,527","7,859","5,992","4,057"
"Duval County, FL","13,857","11,431","8,979","6,765"
"Escambia County, FL","12,161","10,361","8,003","6,102"
"Flagler County, FL","15,124","11,596","6,785","4,615"
"Franklin County, FL","9,954","7,797","5,205","3,791"
"Gadsden County, FL","8,597","6,991","4,623","3,155"
"Gilchrist County, FL","9,690","8,050","5,936","3,630"
"Glades County, FL","10,719","7,733","5,955","4,438"
"Gulf County, FL","10,028","8,264","6,663","5,584"
"Hamilton County, FL","8,851","7,289","5,526","3,300"
"Hardee County, FL","9,411","8,596","6,112","5,019"
"Hendry County, FL","10,035","9,615","7,585","5,219"
"Hernando County, FL","11,864","9,855","7,172","4,948"
"Highlands County, FL","12,112","9,994","7,512","5,494"
"Hillsborough County, FL","14,203","11,199","8,778","6,353"
"Holmes County, FL","8,609","7,944","5,432","3,018"
"Indian River County, FL","17,825","13,365","8,403","6,902"
"Jackson County, FL","9,654","7,829","5,571","3,810"
"Jefferson County, FL","9,744","7,658","5,161","3,445"
