State and County,1989,1979,1969,1959
"Okanogan County, WA","10,346","10,530","8,198","5,870"
"Pacific County, WA","10,952","12,186","9,089","6,490"
"Pend Oreille County, WA","9,556","8,898","7,453","5,859"
"Pierce County, WA","13,439","12,415","9,974","7,440"
"San Juan County, WA","21,013","14,421","10,785","5,968"
"Skagit County, WA","13,804","12,511","9,571","6,796"
"Skamania County, WA","11,621","13,250","7,893","7,103"
"Snohomish County, WA","15,769","13,813","10,361","7,130"
"Spokane County, WA","12,804","12,031","9,489","7,699"
"Stevens County, WA","10,584","9,876","7,556","5,525"
"Thurston County, WA","13,901","13,028","10,543","7,460"
"Wahkiakum County, WA","12,332","13,700","9,111","5,965"
"Walla Walla County, WA","11,508","11,576","9,568","7,758"
"Whatcom County, WA","13,753","12,182","9,316","6,800"
"Whitman County, WA","10,653","10,436","8,765","7,617"
"Yakima County, WA","10,735","10,984","8,022","6,263"
,,,,
West Virginia,"$10,520.00","$10,290.00","$7,342.00","$5,407.00"
"Barbour County, WV","8,036","10,292","5,618","3,473"
"Berkeley County, WV","11,832","10,679","7,896","5,835"
"Boone County, WV","9,189","9,865","5,898","4,128"
"Braxton County, WV","8,249","7,586","6,093","3,512"
"Brooke County, WV","11,656","11,782","8,878","6,934"
"Cabell County, WV","12,068","11,369","8,718","6,985"
"Calhoun County, WV","7,223","7,631","5,221","3,308"
"Clay County, WV","6,722","6,527","4,082","2,849"
"Doddridge County, WV","8,297","7,430","5,394","3,771"
"Fayette County, WV","8,653","8,873","6,005","4,434"
"Gilmer County, WV","7,872","7,504","4,711","3,539"
"Grant County, WV","10,394","8,100","5,863","3,112"
"Greenbrier County, WV","10,057","9,364","6,471","4,360"
"Hampshire County, WV","9,996","8,588","6,165","3,681"
"Hancock County, WV","12,464","13,296","9,615","7,970"
"Hardy County, WV","10,096","8,122","5,690","3,394"
"Harrison County, WV","10,281","10,377","7,925","6,082"
"Jackson County, WV","9,832","10,636","7,003","5,321"
"Jefferson County, WV","13,249","10,287","7,553","5,384"
"Kanawha County, WV","12,887","12,636","8,894","6,949"
"Lewis County, WV","8,561","8,908","5,870","4,199"
"Lincoln County, WV","7,224","7,514","5,070","2,994"
"Logan County, WV","8,786","9,456","6,288","4,736"
"Marion County, WV","6,961","8,008","5,495","4,108"
"Marshall County, WV","10,328","10,455","7,758","6,329"
"Mason County, WV","10,946","10,935","7,984","5,823"
"McDowell County, WV","9,543","10,016","6,316","4,787"
"Mercer County, WV","10,405","10,431","7,364","5,121"
"Mineral County, WV","10,398","9,546","7,084","5,141"
"Mingo County, WV","8,328","8,476","5,054","3,693"
"Monongalia County, WV","11,772","10,823","7,745","5,757"
"Monroe County, WV","8,959","7,988","5,432","3,383"
"Morgan County, WV","11,420","10,460","6,710","4,356"
"Nicholas County, WV","8,652","9,057","6,043","3,901"
"Ohio County, WV","12,348","11,854","9,196","7,601"
"Pendleton County, WV","9,391","7,738","5,593","3,096"
"Pleasants County, WV","9,958","9,838","7,264","4,815"
"Pocahontas County, WV","8,860","9,106","5,457","3,779"
"Preston County, WV","9,158","9,044","5,741","3,826"
"Putnam County, WV","11,840","11,023","7,443","4,972"
"Raleigh County, WV","10,316","10,429","6,719","4,446"
"Randolph County, WV","9,009","9,380","6,030","4,218"
"Ritchie County, WV","9,117","8,410","5,778","4,666"
"Roane County, WV","7,801","8,197","5,520","3,791"
"Summers County, WV","8,203","8,065","5,549","3,485"
"Taylor County, WV","8,746","8,754","6,578","4,175"
"Tucker County, WV","8,978","8,549","5,567","4,108"
"Tyler County, WV","9,692","9,831","6,936","5,274"
"Upshur County, WV","8,748","8,908","6,115","4,105"
"Wayne County, WV","9,430","9,409","6,766","4,552"
"Webster County, WV","6,793","6,848","4,733","3,092"
"Wetzel County, WV","10,454","10,512","7,931","6,125"
"Wirt County, WV","8,163","7,958","5,700","3,771"
"Wood County, WV","12,011","11,405","8,623","6,749"
"Wyoming County, WV","8,268","9,161","6,005","4,391"
,,,,
Wisconsin,"$13,276.00","$12,137.00","$9,542.00","$7,236.00"
"Adams County, WI","10,926","9,463","7,157","4,493"
"Ashland County, WI","9,661","8,668","7,043","5,246"
"Barron County, WI","10,377","9,501","7,717","5,058"
"Bayfield County, WI","9,933","8,737","7,015","4,489"
"Brown County, WI","13,906","12,016","9,014","6,847"
"Buffalo County, WI","10,947","9,685","7,075","4,732"
"Burnett County, WI","9,623","8,414","6,716","4,364"
"Calumet County, WI","12,904","11,938","8,469","6,031"
"Chippewa County, WI","11,170","9,833","7,805","5,486"
"Clark County, WI","9,810","8,824","6,968","4,418"
"Columbia County, WI","12,356","11,088","9,004","5,870"
"Crawford County, WI","9,661","9,401","6,779","4,815"
"Dane County, WI","15,542","13,529","10,770","8,080"
"Dodge County, WI","12,050","11,567","8,954","6,110"
"Door County, WI","12,458","11,633","8,299","5,929"
"Douglas County, WI","10,744","10,624","8,246","6,369"
"Dunn County, WI","10,364","9,432","7,534","4,929"
"Eau Claire County, WI","11,801","10,741","9,032","7,185"
"Florence County, WI","10,352","8,849","6,933","5,670"
"Fond du Lac County, WI","12,574","11,398","9,136","6,396"
"Forest County, WI","8,339","7,418","6,313","4,803"
"Grant County, WI","10,704","9,917","7,506","5,160"
"Green County, WI","13,006","12,244","9,136","6,129"
"Green Lake County, WI","11,840","10,857","8,831","6,267"
"Iowa County, WI","11,339","10,010","8,142","4,936"
"Iron County, WI","9,280","8,037","7,179","5,215"
"Jackson County, WI","10,173","9,325","8,315","4,913"
"Jefferson County, WI","12,770","11,730","9,212","6,596"
"Juneau County, WI","10,304","9,367","7,497","5,470"
"Kenosha County, WI","13,265","12,997","9,652","8,566"
"Kewaunee County, WI","11,299","10,768","8,475","5,144"
"La Crosse County, WI","12,141","11,418","8,721","6,875"
"Lafayette County, WI","10,641","9,954","7,047","5,172"
"Langlade County, WI","10,172","9,025","7,119","5,274"
"Lincoln County, WI","11,282","10,322","7,550","5,560"
"Manitowoc County, WI","12,235","11,458","9,139","6,879"
"Marathon County, WI","12,718","11,222","8,450","6,067"
"Marinette County, WI","10,420","9,699","7,645","5,509"
"Marquette County, WI","10,652","9,565","7,912","4,889"
"Menominee County, WI","5,674","5,907","3,855",(NA)
"Milwaukee County, WI","13,383","13,325","10,911","8,982"
"Monroe County, WI","10,744","10,302","7,572","5,333"
"Oconto County, WI","10,375","9,114","6,763","4,776"
"Oneida County, WI","11,681","10,361","8,176","5,859"
"Outagamie County, WI","13,893","12,180","9,234","6,914"
"Ozaukee County, WI","19,249","16,154","11,686","8,370"
"Pepin County, WI","10,751","9,340","7,402","5,015"
"Pierce County, WI","12,203","10,582","8,224","5,662"
"Polk County, WI","11,291","9,711","7,799","5,089"
"Portage County, WI","11,730","10,471","7,944","5,690"
"Price County, WI","10,564","8,794","6,811","4,760"
"Racine County, WI","14,023","13,353","10,213","8,193"
"Richland County, WI","10,287","9,697","7,100","4,717"
"Rock County, WI","13,428","12,313","9,470","7,358"
"Rusk County, WI","9,127","8,444","6,685","4,575"
"St. Croix County, WI","14,912","11,835","9,158","5,972"
"Sauk County, WI","11,697","11,033","8,935","5,537"
"Sawyer County, WI","9,232","8,496","6,518","4,619"
"Shawano County, WI","10,586","9,719","7,682","4,697"
"Sheboygan County, WI","13,425","12,378","9,766","7,208"
"Taylor County, WI","10,452","9,556","6,159","3,881"
"Trempealeau County, WI","10,674","9,474","7,144","4,823"
"Vernon County, WI","10,132","9,563","6,908","4,524"
"Vilas County, WI","10,866","9,714","7,462","5,027"
"Walworth County, WI","13,526","11,936","9,231","6,973"
"Washburn County, WI","9,847","9,174","7,610","5,160"
"Washington County, WI","14,736","12,750","9,898","7,318"
"Waukesha County, WI","18,148","15,425","11,421","8,551"
"Waupaca County, WI","11,455","10,401","8,129","5,690"
"Waushara County, WI","10,408","9,927","7,324","4,752"
"Winnebago County, WI","13,696","12,268","9,772","7,538"
"Wood County, WI","13,130","11,485","8,711","6,651"
,,,,
Wyoming,"$12,311.00","$13,283.00","$9,111.00","$7,409.00"
"Albany County, WY","11,825","11,180","8,617","6,993"
"Big Horn County, WY","9,717","10,138","8,444","5,380"
"Campbell County, WY","13,596","15,492","11,122","9,288"
"Carbon County, WY","11,592","13,786","8,699","7,479"
"Converse County, WY","12,023","13,628","8,526","6,851"
"Crook County, WY","10,322","11,485","7,601","5,819"
"Fremont County, WY","9,806","12,180","7,821","6,361"
"Goshen County, WY","10,598","10,513","7,991","6,581"
"Hot Springs County, WY","11,940","11,731","8,604","6,930"
"Johnson County, WY","11,563","13,444","10,767","7,122"
"Laramie County, WY","12,932","12,975","9,420","8,445"
"Lincoln County, WY","10,558","10,795","7,500","5,239"
"Natrona County, WY","12,992","15,673","10,210","8,970"
"Niobrara County, WY","11,816","10,860","8,834","7,978"
"Park County, WY","12,147","12,088","8,988","6,483"
"Platte County, WY","10,757","12,730","7,997","6,196"
"Sheridan County, WY","12,457","13,045","9,114","7,032"
"Sublette County, WY","12,567","11,829","10,040","6,969"
"Sweetwater County, WY","13,698","14,880","8,970","7,259"
"Teton County, WY","17,234","15,148","11,062","9,524"
"Uinta County, WY","12,245","12,598","8,611","6,027"
"Washakie County, WY","11,017","11,840","8,107","6,879"
"Weston County, WY","11,263","12,328","9,640","6,808"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
